Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,11,11/590,206/17483,0.35255239046762255,66082/12847/13135/107686/246256/74840/27176/22294/20641/12028/68576,Abhd6/Copa/Dad1/Snrpd2/Fcgr4/Manf/Rpl7a/Uxt/Snrpd1/Bax/Lamtor5,ENSMUSG00000025277/ENSMUSG00000026553/ENSMUSG00000022174/ENSMUSG00000040824/ENSMUSG00000059089/ENSMUSG00000032575/ENSMUSG00000062647/ENSMUSG00000001134/ENSMUSG00000002477/ENSMUSG00000003873/ENSMUSG00000087260,C2,CGP
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP,13,13/590,254/17483,0.35255239046762255,140493/319939/54725/67092/11492/21825/12527/171212/19267/16190/17886/12561/13039,Kcnn3/Tns3/Cadm1/Gatm/Adam19/Thbs1/Cd9/Galnt10/Ptpre/Il4ra/Myh9/Cdh4/Ctsl,ENSMUSG00000000794/ENSMUSG00000020422/ENSMUSG00000032076/ENSMUSG00000027199/ENSMUSG00000011256/ENSMUSG00000040152/ENSMUSG00000030342/ENSMUSG00000020520/ENSMUSG00000041836/ENSMUSG00000030748/ENSMUSG00000022443/ENSMUSG00000000305/ENSMUSG00000021477,C2,CGP
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN,19,19/590,403/17483,0.35255239046762255,72333/21810/114128/18751/320158/16177/77579/27053/21825/16000/16790/20591/277360/244668/20510/69550/14155/18627/63955,Palld/Tgfbi/Laptm4b/Prkcb/Zmat4/Il1r1/Myh10/Asns/Thbs1/Igf1/Anpep/Kdm5c/Prex1/Sipa1l2/Slc1a1/Bst2/Fem1b/Per2/Cables1,ENSMUSG00000058056/ENSMUSG00000035493/ENSMUSG00000022257/ENSMUSG00000052889/ENSMUSG00000037492/ENSMUSG00000026072/ENSMUSG00000020900/ENSMUSG00000029752/ENSMUSG00000040152/ENSMUSG00000020053/ENSMUSG00000039062/ENSMUSG00000025332/ENSMUSG00000039621/ENSMUSG00000001995/ENSMUSG00000024935/ENSMUSG00000046718/ENSMUSG00000032244/ENSMUSG00000055866/ENSMUSG00000040957,C2,CGP
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_DN,6,6/590,92/17483,0.3540162219542813,78323/12709/23802/230809/63955/76933,Fam219b/Ckb/Amfr/Pdik1l/Cables1/Ifi27l2a,ENSMUSG00000032305/ENSMUSG00000001270/ENSMUSG00000031751/ENSMUSG00000050890/ENSMUSG00000040957/ENSMUSG00000079017,C2,CGP
MEISSNER_NPC_HCP_WITH_H3K4ME2,22,22/590,480/17483,0.35516747813992705,17750/20354/15567/12608/13823/17179/320158/100434/17913/239647/54132/54384/11568/11305/664968/66253/233328/19267/16190/109934/17196/17069,Mt2/Sema4d/Slc6a4/Cebpb/Epb41l3/Matk/Zmat4/Slc44a1/Myo1c/Pced1b/Pdlim1/Mtmr7/Aebp1/Abca2/Tmem238/Aig1/Lrrk1/Ptpre/Il4ra/Abr/Mbp/Ly6e,ENSMUSG00000031762/ENSMUSG00000021451/ENSMUSG00000020838/ENSMUSG00000056501/ENSMUSG00000024044/ENSMUSG00000004933/ENSMUSG00000037492/ENSMUSG00000028412/ENSMUSG00000017774/ENSMUSG00000044250/ENSMUSG00000055044/ENSMUSG00000039431/ENSMUSG00000020473/ENSMUSG00000026944/ENSMUSG00000030431/ENSMUSG00000019806/ENSMUSG00000015133/ENSMUSG00000041836/ENSMUSG00000030748/ENSMUSG00000017631/ENSMUSG00000041607/ENSMUSG00000022587,C2,CGP
CROMER_METASTASIS_UP,5,5/590,71/17483,0.35562154769292065,76267/13548/277463/20591/208795,Fads1/Dyrk1a/Gpr107/Kdm5c/Tmem63a,ENSMUSG00000010663/ENSMUSG00000022897/ENSMUSG00000000194/ENSMUSG00000025332/ENSMUSG00000026519,C2,CGP
JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP,3,3/590,32/17483,0.3572664634582565,17750/18751/228033,Mt2/Prkcb/Atp5g3,ENSMUSG00000031762/ENSMUSG00000052889/ENSMUSG00000018770,C2,CGP
ROZANOV_MMP14_TARGETS_DN,3,3/590,32/17483,0.3572664634582565,17750/17132/110253,Mt2/Maf/Triobp,ENSMUSG00000031762/ENSMUSG00000055435/ENSMUSG00000033088,C2,CGP
HOLLERN_EMT_BREAST_TUMOR_UP,8,8/590,137/17483,0.35840328000046434,12978/18636/20308/14276/14268/114601/67784/75687,Csf1r/Cfp/Ccl9/Folr2/Fn1/Ehbp1l1/Plxnd1/Ripor1,ENSMUSG00000024621/ENSMUSG00000001128/ENSMUSG00000019122/ENSMUSG00000032725/ENSMUSG00000026193/ENSMUSG00000024937/ENSMUSG00000030123/ENSMUSG00000038604,C2,CGP
WIELAND_UP_BY_HBV_INFECTION,7,7/590,115/17483,0.36319645406599205,110557/20304/15018/20846/15000/12010/15040,H2-Q6/Ccl5/H2-Q7/Stat1/H2-DMb2/B2m/H2-T23,ENSMUSG00000073409/ENSMUSG00000035042/ENSMUSG00000060550/ENSMUSG00000026104/ENSMUSG00000037548/ENSMUSG00000060802/ENSMUSG00000067212,C2,CGP
IVANOVA_HEMATOPOIESIS_STEM_CELL,10,10/590,184/17483,0.36319645406599205,20725/229521/19309/114128/69387/104099/20020/57266/17909/16332,Serpinb8/Syt11/Pygm/Laptm4b/Dnajb13/Itga9/Polr2a/Cxcl14/Myo10/Inppl1,ENSMUSG00000026315/ENSMUSG00000068923/ENSMUSG00000032648/ENSMUSG00000022257/ENSMUSG00000030708/ENSMUSG00000039115/ENSMUSG00000005198/ENSMUSG00000021508/ENSMUSG00000022272/ENSMUSG00000032737,C2,CGP
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17,10,10/590,184/17483,0.36319645406599205,12709/26409/66059/12334/66508/13001/99138/19177/50783/67681,Ckb/Map3k7/Krtcap2/Capn2/Lamtor1/Csnk2b/Stard7/Psmb7/Lsm4/Mrpl18,ENSMUSG00000001270/ENSMUSG00000028284/ENSMUSG00000042747/ENSMUSG00000026509/ENSMUSG00000030842/ENSMUSG00000024387/ENSMUSG00000027367/ENSMUSG00000026750/ENSMUSG00000031848/ENSMUSG00000057388,C2,CGP
SESTO_RESPONSE_TO_UV_C7,5,5/590,72/17483,0.3666749818860321,17750/27053/17748/20969/18263,Mt2/Asns/Mt1/Sdc1/Odc1,ENSMUSG00000031762/ENSMUSG00000029752/ENSMUSG00000031765/ENSMUSG00000020592/ENSMUSG00000011179,C2,CGP
PROVENZANI_METASTASIS_DN,8,8/590,138/17483,0.3666749818860321,12709/22151/13819/17748/30794/18129/14470/229877,Ckb/Tubb2a/Epas1/Mt1/Pdlim4/Notch2/Rabac1/Rap1gds1,ENSMUSG00000001270/ENSMUSG00000058672/ENSMUSG00000024140/ENSMUSG00000031765/ENSMUSG00000020388/ENSMUSG00000027878/ENSMUSG00000003380/ENSMUSG00000028149,C2,CGP
MULLIGHAN_NPM1_SIGNATURE_3_DN,9,9/590,161/17483,0.3666749818860321,14199/68910/23943/68606/22294/66085/56417/20740/20623,Fhl1/Zfp467/Esyt1/Ppm1f/Uxt/Eif3f/Adar/Sptan1/Snrk,ENSMUSG00000023092/ENSMUSG00000068551/ENSMUSG00000025366/ENSMUSG00000026181/ENSMUSG00000001134/ENSMUSG00000031029/ENSMUSG00000027951/ENSMUSG00000057738/ENSMUSG00000038145,C2,CGP
